t;x;F
0.708000;0.065278;8.086412
0.709000;0.065577;8.083986
0.710000;0.065878;8.081561
0.711000;0.066179;8.079137
0.712000;0.066481;8.076714
0.713000;0.066784;8.074291
0.714000;0.067088;8.071869
0.715000;0.067393;8.069448
0.716000;0.067699;8.067028
0.717000;0.068005;8.064608
0.718000;0.068313;8.062189
0.719000;0.068621;8.059771
0.720000;0.068931;8.057353
0.721000;0.069241;8.054936
0.722000;0.069552;8.052520
0.723000;0.069865;8.050105
0.724000;0.070178;8.047690
0.725000;0.070492;8.045276
0.726000;0.070807;8.042863
0.727000;0.071123;8.040450
0.728000;0.071440;8.038039
0.729000;0.071757;8.035628
0.730000;0.072076;8.033217
0.731000;0.072396;8.030808
0.732000;0.072716;8.028399
0.733000;0.073038;8.025991
0.734000;0.073360;8.023583
0.735000;0.073684;8.021176
0.736000;0.074008;8.018770
0.737000;0.074333;8.016365
0.738000;0.074660;8.013961
0.739000;0.074987;8.011557
0.740000;0.075315;8.009154
0.741000;0.075644;8.006751
0.742000;0.075974;8.004350
0.743000;0.076305;8.001949
0.744000;0.076637;7.999548
0.745000;0.076970;7.997149
0.746000;0.077304;7.994750
0.747000;0.077639;7.992352
0.748000;0.077974;7.989955
0.749000;0.078311;7.987558
0.750000;0.078649;7.985162
0.751000;0.078987;7.982767
0.752000;0.079327;7.980373
0.753000;0.079667;7.977979
0.754000;0.080009;7.975586
0.755000;0.080351;7.973193
0.756000;0.080695;7.970802
0.757000;0.081039;7.968411
0.758000;0.081385;7.966021
0.759000;0.081731;7.963631
0.760000;0.082078;7.961243
0.761000;0.082427;7.958855
0.762000;0.082776;7.956467
0.763000;0.083126;7.954081
0.764000;0.083477;7.951695
0.765000;0.083829;7.949310
0.766000;0.084183;7.946925
0.767000;0.084537;7.944542
0.768000;0.084892;7.942159
0.769000;0.085248;7.939776
0.770000;0.085605;7.937395
0.771000;0.085963;7.935014
0.772000;0.086322;7.932634
0.773000;0.086682;7.930254
0.774000;0.087043;7.927875
0.775000;0.087405;7.925497
0.776000;0.087769;7.923120
0.777000;0.088133;7.920744
0.778000;0.088498;7.918368
0.779000;0.088864;7.915993
0.780000;0.089231;7.913618
0.781000;0.089599;7.911244
0.782000;0.089968;7.908871
0.783000;0.090338;7.906499
0.784000;0.090709;7.904128
0.785000;0.091081;7.901757
0.786000;0.091454;7.899386
0.787000;0.091828;7.897017
0.788000;0.092203;7.894648
0.789000;0.092579;7.892280
0.790000;0.092956;7.889913
0.791000;0.093334;7.887546
0.792000;0.093713;7.885180
0.793000;0.094093;7.882815
0.794000;0.094474;7.880451
0.795000;0.094856;7.878087
0.796000;0.095239;7.875724
0.797000;0.095624;7.873361
0.798000;0.096009;7.871000
0.799000;0.096395;7.868639
0.800000;0.096782;7.866279
0.801000;0.097170;7.863919
0.802000;0.097560;7.861560
0.803000;0.097950;7.859202
0.804000;0.098341;7.856845
0.805000;0.098734;7.854488
0.806000;0.099127;7.852132
0.807000;0.099521;7.849777
0.808000;0.099917;7.847422
0.809000;0.100313;7.845068
0.810000;0.100711;7.842715
0.811000;0.101109;7.840363
0.812000;0.101509;7.838011
0.813000;0.101910;7.835660
0.814000;0.102311;7.833310
0.815000;0.102714;7.830960
0.816000;0.103118;7.828611
0.817000;0.103522;7.826263
0.818000;0.103928;7.823915
0.819000;0.104335;7.821568
0.820000;0.104743;7.819222
0.821000;0.105152;7.816877
0.822000;0.105562;7.814532
0.823000;0.105973;7.812188
0.824000;0.106385;7.809845
0.825000;0.106798;7.807502
0.826000;0.107212;7.805160
0.827000;0.107628;7.802819
0.828000;0.108044;7.800479
0.829000;0.108461;7.798139
0.830000;0.108880;7.795800
0.831000;0.109299;7.793461
0.832000;0.109720;7.791124
